compound_id	compound_name	pathway	smiles	scenario_id	study_name	study_description	spike_compound	minormajor	acidity	acidity_unit	temperature	temperature_unit	CEC	CEC_unit	OC	biomass_start	biomass_end	biomass	wst_value	wst_type	humidity	humidity_conditions	soil_texture	sand	silt	clay
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/648240b4-1dae-4e90-bce5-8b24ad10c52d/structure/b745eef3-9a66-46fe-9940-b9d83c6102d4	CGA 149776	Novaluron	O=C(O)c1c(F)cccc1F	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/4a13b495-1af5-43c2-99be-f3fff708ccbc	Millais (1999)	no description				pH		&#176;C				466.7	146.7		 	MWHC	40.0		Sandy loam	67.4	21.2	11.4
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Novaluron	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/48190d8a-2a2f-45c6-bff3-cf371becb00a	Millais (1999)	no description				pH		&#176;C				466.7	146.7		 	MWHC	40.0		Sandy loam	67.4	21.2	11.4
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/8fc91e0c-fb95-4742-9301-ee6a60542698/structure/9a0edd74-2fce-4e08-b6eb-193f2138d101	275-309-I	Novaluron	Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/1ad5fffa-08eb-48e7-9791-f76b8da503d9	Aikens (1999b)	no description				pH		&#176;C				249.3	557.7		 	MWHC	40.0		Clay	8.04	6.49	5.47
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/74ae9afd-c0b6-45fd-8a8c-bc1e63caff9e/structure/0926769b-2ebb-4827-a1a1-f8fdf0177b3e	CGA 149772	Novaluron	NC(=O)c1c(F)cccc1F	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/f3388c6d-0506-4a84-b75f-fa7935b702da	scenario 37	no description		Minor																		
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c52de8d3-6882-422b-87df-b058fb702c26/structure/f010d5ad-997f-4742-872e-b6dd83b6719a	S4 (2-amino-N,N-dimethylbenzamide)	Orthosulfamuron	CN(C)C(=O)c1ccccc1N	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/7b3d4ca8-8f63-420f-a471-b86ad86b53c3	Scacchi, A. & Pizzingrilli, G. (2001b)	no description				pH		&#176;C	12.42	mEq/100g		493.4	572.9			pF 2.5, experimental humidity at pF 2.5			Silt loam	38.0	52.5	9.5
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/9fb0cbb3-4b58-4b9b-ae71-412b1ce980f1/structure/6febaa6c-7f34-474d-ae3d-113152b3c5d0	S1 (2-sulfamino-N,N-dimethylbenzamide)	Orthosulfamuron	CN(C)C(=O)c1ccccc1NS(=O)(=O)O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/7b3d4ca8-8f63-420f-a471-b86ad86b53c3	Scacchi, A. & Pizzingrilli, G. (2001b)	no description				pH		&#176;C	12.42	mEq/100g		493.4	572.9			pF 2.5, experimental humidity at pF 2.5			Silt loam	38.0	52.5	9.5
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/3dd6b0b4-80f7-44cd-aa27-4dbe1bf8e14f/structure/345f18c1-117b-47e6-8b0d-870d796acdd2	S12 (N-(4,6-dimethoxypyrimidin-2-yl)urea	Orthosulfamuron	COc1cc(OC)nc(NC(N)=O)n1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/31beeffa-380d-48e2-bd92-b990c9ede18c	Scacchi, A. & Pizzingrilli, G. (2001c)	no description				pH		&#176;C	15.07	mEq/100g		1391.0	789.1			pF 2.5, experimental humidity at pF 2.5			Silt loam	32.5	53.0	14.5
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/68a6ac9c-7c94-4cdd-a5ed-314590e5fdc2/structure/3ef475c9-2546-47b5-98ab-930d5b56cf67	S9 (1-(4-methoxy-6-hydroxypyrimidin-2-yl)-3-[2-(dimethylcarbamoyl)phenylsulfamoyl]urea	Orthosulfamuron	COc1cc(O)nc(NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)N(C)C)n1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/7b3d4ca8-8f63-420f-a471-b86ad86b53c3	Scacchi, A. & Pizzingrilli, G. (2001b)	no description				pH		&#176;C	12.42	mEq/100g		493.4	572.9			pF 2.5, experimental humidity at pF 2.5			Silt loam	38.0	52.5	9.5
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/6358408d-2559-4ec1-ab03-3e83eeb5e54e/structure/46fd611f-3642-4579-b877-fb0497ef8b86	S13 (2-amino-4,6-dimethoxypyrimidine)	Orthosulfamuron	COc1cc(OC)nc(N)n1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/31beeffa-380d-48e2-bd92-b990c9ede18c	Scacchi, A. & Pizzingrilli, G. (2001c)	no description				pH		&#176;C	15.07	mEq/100g		1391.0	789.1			pF 2.5, experimental humidity at pF 2.5			Silt loam	32.5	53.0	14.5
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Orthosulfamuron	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/7b3d4ca8-8f63-420f-a471-b86ad86b53c3	Scacchi, A. & Pizzingrilli, G. (2001b)	no description				pH		&#176;C	12.42	mEq/100g		493.4	572.9			pF 2.5, experimental humidity at pF 2.5			Silt loam	38.0	52.5	9.5
